prompt_file,database_path,count,exact_match,contains_match,unknown_rate,precision,recall,f1,paired_count,parametric_leakage,retrieval_mediated_correctness,retrieval_artifact_rate
data/custom_databases/countries/prompts/alias/prompts_cloze.jsonl,data/custom_databases/countries/alias.json,600,0.19833333333333333,0.26166666666666666,0.016666666666666666,0.20952558472123692,0.21944444444444447,0.210715034965035,200,0.0,0.09,0.09
data/custom_databases/countries/prompts/alias/prompts_contextual_questions.jsonl,data/custom_databases/countries/alias.json,600,0.235,0.28,0.04833333333333333,0.24367155828920536,0.2638888888888889,0.24594864192469865,200,0.0,0.11,0.11
data/custom_databases/countries/prompts/alias/prompts_continuations.jsonl,data/custom_databases/countries/alias.json,600,0.34833333333333333,0.385,0.19,0.3578387445887446,0.37222222222222223,0.359831265956266,200,0.005,0.185,0.185
data/custom_databases/countries/prompts/alias/prompts_direct_questions.jsonl,data/custom_databases/countries/alias.json,600,0.31666666666666665,0.36333333333333334,0.043333333333333335,0.32675283281533285,0.33888888888888896,0.32823507973507987,200,0.0,0.2,0.2
data/custom_databases/countries/prompts/alias/prompts_fewshot_questions.jsonl,data/custom_databases/countries/alias.json,600,0.11333333333333333,0.145,0.0016666666666666668,0.11841371839542572,0.13,0.11983477633477634,200,0.0,0.09,0.09
data/custom_databases/countries/prompts/alias/prompts_paraphrased_questions.jsonl,data/custom_databases/countries/alias.json,600,0.23166666666666666,0.28833333333333333,0.051666666666666666,0.24183670006464125,0.2569444444444445,0.24318538473337242,200,0.0,0.135,0.135
data/custom_databases/countries/prompts/base/prompts_cloze.jsonl,data/custom_databases/countries/base.json,300,0.10666666666666667,0.20666666666666667,0.016666666666666666,0.11232131185807655,0.1272222222222222,0.1137377108229511,100,0.0,0.01,0.01
data/custom_databases/countries/prompts/base/prompts_contextual_questions.jsonl,data/custom_databases/countries/base.json,300,0.23666666666666666,0.2866666666666667,0.04,0.24672741911872345,0.2627777777777778,0.24843833943833937,100,0.0,0.04,0.04
data/custom_databases/countries/prompts/base/prompts_continuations.jsonl,data/custom_databases/countries/base.json,300,0.2833333333333333,0.3566666666666667,0.17666666666666667,0.30333333333333345,0.34944444444444445,0.31166666666666654,100,0.0,0.01,0.01
data/custom_databases/countries/prompts/base/prompts_direct_questions.jsonl,data/custom_databases/countries/base.json,300,0.22,0.25666666666666665,0.0033333333333333335,0.2301111111111111,0.23611111111111113,0.23182539682539682,100,0.0,0.08,0.08
data/custom_databases/countries/prompts/base/prompts_fewshot_questions.jsonl,data/custom_databases/countries/base.json,300,0.10666666666666667,0.14333333333333334,0.0033333333333333335,0.10712842712842713,0.11333333333333333,0.10752525252525252,100,0.0,0.09,0.09
data/custom_databases/countries/prompts/base/prompts_paraphrased_questions.jsonl,data/custom_databases/countries/base.json,300,0.2,0.27,0.01,0.21306349206349207,0.21944444444444447,0.2147354497354497,100,0.0,0.06,0.06
data/custom_databases/countries/prompts/collision/prompts_cloze.jsonl,data/custom_databases/countries/collision.json,420,0.18333333333333332,0.2761904761904762,0.047619047619047616,0.18969190453959361,0.2134920634920635,0.1916555021806738,140,0.0,0.11428571428571428,0.11428571428571428
data/custom_databases/countries/prompts/collision/prompts_contextual_questions.jsonl,data/custom_databases/countries/collision.json,420,0.26904761904761904,0.32142857142857145,0.03333333333333333,0.2814704457320917,0.30833333333333335,0.2837458829685721,140,0.0,0.10714285714285714,0.10714285714285714
data/custom_databases/countries/prompts/collision/prompts_continuations.jsonl,data/custom_databases/countries/collision.json,420,0.34285714285714286,0.4023809523809524,0.20952380952380953,0.36163179413179425,0.4011904761904762,0.36802142302142293,140,0.0,0.15,0.15
data/custom_databases/countries/prompts/collision/prompts_direct_questions.jsonl,data/custom_databases/countries/collision.json,420,0.2761904761904762,0.32142857142857145,0.004761904761904762,0.29060966810966815,0.30515873015873013,0.29328798185941046,140,0.0,0.16428571428571428,0.16428571428571428
data/custom_databases/countries/prompts/collision/prompts_fewshot_questions.jsonl,data/custom_databases/countries/collision.json,420,0.08571428571428572,0.12142857142857143,0.002380952380952381,0.09077767470624613,0.10039682539682539,0.0917741075349771,140,0.0,0.07857142857142857,0.07857142857142857
data/custom_databases/countries/prompts/collision/prompts_paraphrased_questions.jsonl,data/custom_databases/countries/collision.json,420,0.22380952380952382,0.30714285714285716,0.014285714285714285,0.2457903009688725,0.27301587301587305,0.25102040816326543,140,0.0,0.14285714285714285,0.14285714285714285
data/custom_databases/countries/prompts/noise/prompts_cloze.jsonl,data/custom_databases/countries/noise.json,540,0.2518518518518518,0.34814814814814815,0.012962962962962963,0.2568823898840919,0.2722222222222222,0.2586982793011906,180,0.0,0.32222222222222224,0.32222222222222224
